Model Name,Size (GB),Category,Is Embedding
aerok/acge_text_embedding:latest,0.61,embedding,True
yuki_ho/bce-embedding:fp16,0.52,embedding,True
bge-large:latest,0.62,embedding,True
bge-m3:latest,1.08,embedding,True
mxbai-embed-large:335m,0.62,embedding,True
snowflake-arctic-embed:335m,0.62,embedding,True
mxbai-embed-large:latest,0.62,embedding,True
nomic-embed-text:latest,0.26,embedding,True
qwen2.5-coder:3b,1.80,small,False
qwen2.5-coder:0.5b,0.49,small,False
opencoder:latest,4.41,small,False
opencoder:1.5b,1.32,small,False
granite3-guardian:latest,2.51,small,False
qwen2.5-coder:1.5b,0.92,small,False
qwen2.5-coder:7b,4.36,small,False
aya-expanse:latest,4.71,small,False
smollm2:135m,0.25,small,False
smollm2:360m,0.68,small,False
smollm2:latest,1.70,small,False
granite3-moe:1b,0.77,small,False
granite3-moe:latest,1.92,small,False
granite3-dense:8b,4.60,small,False
granite3-dense:latest,1.49,small,False
nemotron-mini:latest,2.51,small,False
llama3.2:1b,1.23,small,False
llama3.2:3b,1.88,small,False
qwen2.5:latest,4.36,small,False
qwen2.5-coder:latest,4.36,small,False
jmorgan/bespoke-minicheck:latest,4.15,small,False
bespoke-minicheck:latest,4.39,small,False
reader-lm:latest,0.87,small,False
yi-coder:latest,4.69,small,False
qwen2-math:1.5b,0.87,small,False
qwen2-math:latest,4.13,small,False
hermes3:latest,4.34,small,False
phi3.5:latest,2.03,small,False
smollm:1.7b,0.92,small,False
smollm:360m,0.21,small,False
smollm:135m,0.09,small,False
nuextract:latest,2.03,small,False
paraphrase-multilingual:latest,0.52,small,False
llama3.1:latest,4.34,small,False
llama3-groq-tool-use:latest,4.34,small,False
mathstral:latest,3.83,small,False
mistrallite:latest,3.83,small,False
mapler/lite-mistral-150m-instruct:latest,0.16,small,False
yi:latest,3.24,small,False
goktugkoksal/gwen2_05:latest,4.13,small,False
internlm2:latest,4.15,small,False
mannix/nous-hermes2-solar-10.7b:iq2_s,3.16,small,False
codellama:7b-code-q4_K_M,3.80,small,False
qwen2:7b,4.13,small,False
qwen2:1.5b,0.87,small,False
qwen2:0.5b,0.33,small,False
granite-code:3b,1.86,small,False
stable-code:3b-code-q4_0,1.50,small,False
starcoder2:latest,1.59,small,False
dolphincoder:latest,3.94,small,False
codeqwen:latest,3.89,small,False
moondream:latest,1.62,small,False
llama3-gradient:latest,4.34,small,False
llava-phi3:latest,2.73,small,False
starcoder:7b,4.00,small,False
openchat:latest,3.83,small,False
tinydolphin:latest,0.59,small,False
starcoder:1b,0.68,small,False
starcoder:3b,1.71,small,False
wizard-vicuna-uncensored:latest,3.56,small,False
dolphin-mistral:latest,3.83,small,False
orca-mini:latest,1.84,small,False
mistral-openorca:latest,3.83,small,False
llama2-uncensored:latest,3.56,small,False
codegemma:2b,1.44,small,False
gemma:2b,1.56,small,False
aya:8b,4.47,small,False
qwen:latest,2.17,small,False
llava:latest,4.41,small,False
codegemma:7b,4.67,small,False
wizardlm2:latest,3.83,small,False
mistral:latest,3.83,small,False
llama3-chatqa:latest,4.34,small,False
dolphin-phi:latest,1.49,small,False
dolphin-llama3:latest,4.34,small,False
codellama:latest,3.56,small,False
llama3:latest,4.34,small,False
llama3.2-vision:latest,7.36,medium,False
granite3-guardian:8b,5.40,medium,False
minicpm-v:latest,5.10,medium,False
phi3:medium-128k,7.35,medium,False
mistral-nemo:latest,6.59,medium,False
everythinglm:latest,6.86,medium,False
codegeex4:latest,5.08,medium,False
glm4:latest,5.08,medium,False
codegeex4:9b,5.08,medium,False
gemma2:latest,5.08,medium,False
deepseek-coder-v2:latest,8.29,medium,False
codeqwen:7b-code-v1.5-q8_0,7.18,medium,False
llama3:8b-instruct-q6_K,6.14,medium,False
phind-codellama:34b-v2-q2_K,13.23,medium,False
wojtek/magicoder:6.7b-s-ds-q8_0,6.67,medium,False
codeqwen:7b-code-v1.5-q5_1,5.09,medium,False
charaf/dolphin-2.9.2-qwen2-7b-f16:latest,14.19,medium,False
deepseek-v2:latest,8.29,medium,False
falcon2:latest,5.94,medium,False
granite-code:20b,10.76,medium,False
codestral:latest,11.71,medium,False
phi3:medium,7.35,medium,False
llava-llama3:latest,5.16,medium,False
nemotron:latest,39.60,large,False
qwen2-math:72b,38.40,large,False
mistral-large:latest,64.34,large,False
dolphin-mixtral:latest,24.63,large,False
